siteid,sitename,monitordate,aqi,so2subindex,cosubindex,o3subindex,pm10subindex,no2subindex,o38subindex,pm25subindex
41,臺西,2023-10-14,38,8,2,,30,28,,38
40,朴子,2023-10-14,87,5,5,,39,22,87,55
39,新港,2023-10-14,101,10,3,,44,25,101,65
38,崙背,2023-10-14,87,10,5,,39,25,87,57
37,斗六,2023-10-14,101,8,5,,43,23,101,62
36,南投,2023-10-14,74,2,5,,33,30,74,54
35,二林,2023-10-14,100,12,5,,42,28,100,47
34,線西,2023-10-14,31,8,3,,31,27,,24
33,彰化,2023-10-14,90,2,5,,27,32,90,
32,西屯,2023-10-14,61,5,3,,24,27,61,45
31,忠明,2023-10-14,58,5,5,,22,28,58,45
30,大里,2023-10-14,67,5,5,,25,32,67,42
29,沙鹿,2023-10-14,97,2,3,,24,17,97,37
28,豐原,2023-10-14,48,5,3,,23,17,48,42
27,三義,2023-10-14,54,2,3,,20,17,54,33
26,苗栗,2023-10-14,58,8,3,,23,18,58,37
25,頭份,2023-10-14,41,5,3,,29,23,,41
24,新竹,2023-10-14,64,8,5,,22,28,64,45
23,竹東,2023-10-14,50,2,3,,22,17,50,48
22,湖口,2023-10-14,77,5,3,,30,27,77,52
21,龍潭,2023-10-14,71,5,3,,29,27,71,34
20,平鎮,2023-10-14,58,0,5,,25,32,58,36
19,觀音,2023-10-14,97,8,3,,33,32,97,53
18,大園,2023-10-14,87,15,3,,28,45,87,40
17,桃園,2023-10-14,51,5,5,,25,28,51,43
16,大同,2023-10-14,64,2,10,,31,64,,57
15,松山,2023-10-14,48,2,5,,29,40,39,48
14,古亭,2023-10-14,58,2,3,,26,28,58,53
13,萬華,2023-10-14,49,2,5,,28,38,47,49
12,中山,2023-10-14,47,0,6,,27,37,46,47
11,士林,2023-10-14,71,8,3,,23,38,71,49
10,淡水,2023-10-14,74,2,5,,27,28,74,45
9,林口,2023-10-14,64,2,3,,26,25,64,40
8,菜寮,2023-10-14,64,2,5,,26,35,64,36
7,新莊,2023-10-14,58,2,5,,33,28,58,56
6,板橋,2023-10-14,49,0,6,,26,40,48,49
5,土城,2023-10-14,67,5,3,,25,20,67,46
4,新店,2023-10-14,74,8,3,,24,22,74,41
3,萬里,2023-10-14,64,2,3,,33,15,64,39
2,汐止,2023-10-14,48,8,5,,26,48,41,44
1,基隆,2023-10-14,45,2,5,,24,32,45,41
85,大城,2023-10-13,48,10,5,,33,35,48,34
84,富貴角,2023-10-13,67,0,1,,42,2,67,29
83,麥寮,2023-10-13,39,8,3,,38,25,,39
80,關山,2023-10-13,38,2,2,,15,8,38,8
78,馬公,2023-10-13,61,0,1,,22,3,61,31
77,金門,2023-10-13,90,8,2,,25,20,90,34
75,馬祖,2023-10-13,80,0,1,,18,8,80,31
72,埔里,2023-10-13,100,2,3,,27,12,100,45
71,復興,2023-10-13,57,8,6,,41,52,,57
70,永和,2023-10-13,41,5,5,,26,33,,41
69,竹山,2023-10-13,93,5,2,,39,20,93,66
68,中壢,2023-10-13,54,8,10,,29,54,,34
67,三重,2023-10-13,55,2,11,,25,55,,27
66,冬山,2023-10-13,43,2,2,,24,30,43,24
65,宜蘭,2023-10-13,42,0,2,,19,10,42,31
64,陽明,2023-10-13,49,0,1,,18,2,49,9
63,花蓮,2023-10-13,49,2,3,,22,20,49,26
62,臺東,2023-10-13,43,0,2,,22,13,43,16
61,恆春,2023-10-13,43,2,1,,16,0,43,15
60,潮州,2023-10-13,64,10,2,,26,18,64,42
59,屏東,2023-10-13,74,5,5,,35,28,74,
58,小港,2023-10-13,90,12,3,,39,55,90,56
57,前鎮,2023-10-13,54,12,6,,44,47,,54
56,前金,2023-10-13,112,10,5,,45,43,112,50
54,左營,2023-10-13,118,18,5,,41,32,118,58
53,楠梓,2023-10-13,108,8,3,,45,43,108,54
52,林園,2023-10-13,129,30,2,,40,23,129,53
51,大寮,2023-10-13,50,10,3,,40,28,50,45
50,鳳山,2023-10-13,53,50,7,,36,53,,47
49,仁武,2023-10-13,101,15,3,,32,32,101,45
48,橋頭,2023-10-13,118,8,5,,46,37,118,63
47,美濃,2023-10-13,90,2,3,,33,10,90,53
46,臺南,2023-10-13,100,5,3,,43,43,100,61
45,安南,2023-10-13,100,5,5,,46,42,100,59
44,善化,2023-10-13,87,8,3,,35,23,87,56
43,新營,2023-10-13,87,8,3,,43,25,87,49
42,嘉義,2023-10-13,115,8,3,,45,25,115,62
41,臺西,2023-10-13,40,15,5,,40,27,,40
40,朴子,2023-10-13,112,8,3,,42,18,112,49
39,新港,2023-10-13,101,5,2,,47,25,101,55
38,崙背,2023-10-13,90,5,3,,41,23,90,52
37,斗六,2023-10-13,112,8,3,,45,25,112,55
36,南投,2023-10-13,93,2,3,,36,35,93,51
35,二林,2023-10-13,87,8,3,,44,23,87,50
34,線西,2023-10-13,34,8,3,,34,23,,20
33,彰化,2023-10-13,87,5,3,,32,35,87,
32,西屯,2023-10-13,84,2,2,,30,25,84,44
31,忠明,2023-10-13,84,8,3,,30,35,84,41
30,大里,2023-10-13,108,5,5,,32,45,108,44
29,沙鹿,2023-10-13,80,2,2,,30,20,80,30
28,豐原,2023-10-13,93,5,3,,28,18,93,38
27,三義,2023-10-13,74,5,2,,24,15,74,29
26,苗栗,2023-10-13,54,8,2,,22,22,54,28
25,頭份,2023-10-13,30,5,2,,30,27,,29
24,新竹,2023-10-13,54,2,3,,22,28,54,29
23,竹東,2023-10-13,45,0,2,,19,13,45,29
22,湖口,2023-10-13,51,5,2,,32,20,51,39
21,龍潭,2023-10-13,43,2,2,,25,22,43,26
20,平鎮,2023-10-13,46,0,5,,25,33,46,25
19,觀音,2023-10-13,49,5,2,,34,38,49,36
18,大園,2023-10-13,46,8,2,,27,38,46,23
17,桃園,2023-10-13,44,5,5,,24,33,44,28
16,大同,2023-10-13,57,2,9,,30,57,,46
15,松山,2023-10-13,53,8,3,,27,53,38,32
14,古亭,2023-10-13,41,5,3,,28,32,41,37
13,萬華,2023-10-13,48,5,5,,30,48,43,33
12,中山,2023-10-13,47,2,6,,28,47,39,33
11,士林,2023-10-13,45,2,2,,21,18,45,27
10,淡水,2023-10-13,44,5,3,,27,38,44,28
9,林口,2023-10-13,43,2,2,,25,35,43,21
8,菜寮,2023-10-13,46,2,3,,25,23,46,22
7,新莊,2023-10-13,44,0,3,,32,22,44,38
6,板橋,2023-10-13,42,2,5,,27,37,42,36
5,土城,2023-10-13,45,5,3,,26,22,45,37
4,新店,2023-10-13,44,2,3,,24,25,44,27
3,萬里,2023-10-13,58,2,2,,56,13,58,28
2,汐止,2023-10-13,45,10,3,,24,45,43,28
1,基隆,2023-10-13,49,2,3,,25,27,49,24
85,大城,2023-10-12,74,8,2,,28,23,74,31
84,富貴角,2023-10-12,80,0,1,,42,2,80,31
83,麥寮,2023-10-12,35,8,3,,35,20,,33
80,關山,2023-10-12,43,2,2,,17,7,43,8
78,馬公,2023-10-12,67,0,2,,21,5,67,31
77,金門,2023-10-12,101,8,3,,27,18,101,46
75,馬祖,2023-10-12,97,2,2,,23,7,97,38
72,埔里,2023-10-12,97,2,3,,27,15,97,45
71,復興,2023-10-12,58,8,7,,46,55,,58
70,永和,2023-10-12,42,5,5,,24,33,,42
69,竹山,2023-10-12,101,2,2,,34,20,101,55
68,中壢,2023-10-12,52,5,9,,26,52,,33
67,三重,2023-10-12,58,0,11,,25,58,,29
66,冬山,2023-10-12,47,2,2,,18,22,47,16
65,宜蘭,2023-10-12,44,2,2,,11,10,44,20
64,陽明,2023-10-12,51,0,1,,13,0,51,14
63,花蓮,2023-10-12,48,2,3,,21,17,48,21
62,臺東,2023-10-12,46,0,2,,19,12,46,11
61,恆春,2023-10-12,28,28,1,,,2,,
60,潮州,2023-10-12,90,5,2,,33,10,90,51
59,屏東,2023-10-12,100,22,6,,52,40,100,
58,小港,2023-10-12,61,10,5,,47,52,61,60
57,前鎮,2023-10-12,60,10,6,,50,47,,60
56,前金,2023-10-12,100,8,5,,47,33,100,54
54,左營,2023-10-12,115,5,5,,47,32,115,67
53,楠梓,2023-10-12,101,8,5,,48,38,101,53
52,林園,2023-10-12,118,8,5,,50,28,118,64
51,大寮,2023-10-12,60,51,5,,54,45,58,60
50,鳳山,2023-10-12,58,18,7,,46,51,,58
49,仁武,2023-10-12,90,10,6,,42,53,90,54
48,橋頭,2023-10-12,101,8,5,,46,33,101,62
47,美濃,2023-10-12,97,8,3,,45,25,97,58
46,臺南,2023-10-12,90,5,5,,40,35,90,55
45,安南,2023-10-12,84,5,3,,40,32,84,48
44,善化,2023-10-12,100,5,2,,32,22,100,51
43,新營,2023-10-12,97,8,2,,37,20,97,42
42,嘉義,2023-10-12,93,8,3,,40,30,93,55
41,臺西,2023-10-12,34,8,3,,34,22,,28
40,朴子,2023-10-12,84,2,2,,38,12,84,37
39,新港,2023-10-12,93,8,2,,39,23,93,45
38,崙背,2023-10-12,71,5,2,,35,25,71,37
37,斗六,2023-10-12,97,5,2,,34,18,97,42
36,南投,2023-10-12,74,0,3,,26,32,74,34
35,二林,2023-10-12,67,8,3,,37,17,67,32
34,線西,2023-10-12,30,8,3,,30,22,,13
33,彰化,2023-10-12,64,2,3,,26,28,64,
32,西屯,2023-10-12,64,5,2,,23,18,64,34
31,忠明,2023-10-12,54,5,2,,20,23,54,29
30,大里,2023-10-12,67,2,3,,19,28,67,26
29,沙鹿,2023-10-12,58,2,2,,26,17,58,23
28,豐原,2023-10-12,50,5,2,,15,12,50,23
27,三義,2023-10-12,64,2,2,,17,8,64,18
26,苗栗,2023-10-12,58,8,2,,20,13,58,24
25,頭份,2023-10-12,25,5,2,,25,23,,24
24,新竹,2023-10-12,47,5,3,,20,25,47,29
23,竹東,2023-10-12,50,0,2,,17,10,50,29
22,湖口,2023-10-12,48,2,2,,27,15,48,35
21,龍潭,2023-10-12,50,2,2,,22,17,50,24
20,平鎮,2023-10-12,44,0,3,,22,27,44,20
19,觀音,2023-10-12,48,2,2,,31,22,48,31
18,大園,2023-10-12,45,5,2,,25,43,45,20
17,桃園,2023-10-12,44,5,3,,21,23,44,25
16,大同,2023-10-12,60,2,8,,27,60,,40
15,松山,2023-10-12,42,2,2,,26,42,41,32
14,古亭,2023-10-12,44,5,2,,25,25,44,34
13,萬華,2023-10-12,44,0,3,,27,33,44,32
12,中山,2023-10-12,43,0,5,,25,40,43,31
11,士林,2023-10-12,49,2,2,,18,15,49,25
10,淡水,2023-10-12,43,2,3,,26,28,43,29
9,林口,2023-10-12,40,0,2,,23,40,39,25
8,菜寮,2023-10-12,45,2,3,,24,27,45,23
7,新莊,2023-10-12,44,0,3,,28,25,44,37
6,板橋,2023-10-12,43,2,3,,24,38,43,36
5,土城,2023-10-12,46,2,2,,25,20,46,36
4,新店,2023-10-12,46,2,3,,23,23,46,29
3,萬里,2023-10-12,74,2,2,,64,8,74,32
2,汐止,2023-10-12,44,8,2,,23,43,44,30
1,基隆,2023-10-12,58,2,2,,24,7,58,27
85,大城,2023-10-11,101,2,2,,32,18,101,41
84,富貴角,2023-10-11,87,0,1,,49,2,87,41
83,麥寮,2023-10-11,36,8,3,,36,20,,34
80,關山,2023-10-11,44,2,2,,12,5,44,6
78,馬公,2023-10-11,71,0,2,,27,3,71,44
77,金門,2023-10-11,100,2,3,,27,15,100,51
75,馬祖,2023-10-11,77,2,2,,24,8,77,44
72,埔里,2023-10-11,67,2,3,,23,10,67,40
71,復興,2023-10-11,59,8,6,,41,45,,59
70,永和,2023-10-11,45,5,5,,23,28,,45
69,竹山,2023-10-11,90,2,2,,27,22,90,54
68,中壢,2023-10-11,45,5,9,,26,45,,39
67,三重,2023-10-11,62,2,11,,25,62,,34
66,冬山,2023-10-11,47,2,2,,16,43,47,19
65,宜蘭,2023-10-11,44,2,2,,13,13,44,26
64,陽明,2023-10-11,61,0,2,,14,2,61,12
63,花蓮,2023-10-11,49,2,3,,14,17,49,12
62,臺東,2023-10-11,48,0,2,,14,8,48,12
61,恆春,2023-10-11,-1,,,,,,,
60,潮州,2023-10-11,58,5,2,,29,7,58,49
59,屏東,2023-10-11,61,5,5,,37,28,61,
58,小港,2023-10-11,56,10,3,,41,42,47,56
57,前鎮,2023-10-11,57,12,5,,44,42,,57
56,前金,2023-10-11,74,5,3,,45,28,74,55
54,左營,2023-10-11,93,5,5,,46,33,93,70
53,楠梓,2023-10-11,64,5,3,,43,25,64,55
52,林園,2023-10-11,93,15,2,,40,10,93,56
51,大寮,2023-10-11,59,28,3,,45,43,34,59
50,鳳山,2023-10-11,53,8,7,,37,50,,53
49,仁武,2023-10-11,71,10,5,,39,47,71,56
48,橋頭,2023-10-11,67,5,3,,43,23,67,59
47,美濃,2023-10-11,58,0,3,,30,12,58,51
46,臺南,2023-10-11,90,2,5,,45,25,90,58
45,安南,2023-10-11,87,2,3,,42,23,87,51
44,善化,2023-10-11,77,2,2,,29,17,77,48
43,新營,2023-10-11,90,5,3,,37,20,90,41
42,嘉義,2023-10-11,87,8,3,,31,25,87,53
41,臺西,2023-10-11,36,5,2,,36,17,,34
40,朴子,2023-10-11,74,10,2,,39,15,74,44
39,新港,2023-10-11,71,8,2,,36,17,71,40
38,崙背,2023-10-11,67,5,2,,33,18,67,37
37,斗六,2023-10-11,97,5,2,,29,20,97,37
36,南投,2023-10-11,58,2,3,,22,23,58,31
35,二林,2023-10-11,90,5,3,,38,15,90,34
34,線西,2023-10-11,32,8,3,,32,18,,16
33,彰化,2023-10-11,61,2,3,,22,20,61,33
32,西屯,2023-10-11,51,2,2,,19,15,51,30
31,忠明,2023-10-11,48,2,2,,18,22,48,28
30,大里,2023-10-11,49,5,3,,15,23,49,18
29,沙鹿,2023-10-11,71,0,2,,20,13,71,18
28,豐原,2023-10-11,42,5,2,,13,12,42,23
27,三義,2023-10-11,47,5,2,,13,7,47,18
26,苗栗,2023-10-11,51,5,2,,16,13,51,25
25,頭份,2023-10-11,25,2,2,,24,13,,25
24,新竹,2023-10-11,58,2,3,,18,18,58,27
23,竹東,2023-10-11,49,0,2,,14,7,49,27
22,湖口,2023-10-11,54,2,2,,28,15,54,38
21,龍潭,2023-10-11,48,2,2,,24,13,48,29
20,平鎮,2023-10-11,47,2,3,,21,25,47,31
19,觀音,2023-10-11,54,2,2,,35,22,54,37
18,大園,2023-10-11,46,5,2,,26,32,46,27
17,桃園,2023-10-11,45,2,3,,22,32,45,31
16,大同,2023-10-11,60,2,10,,27,60,,46
15,松山,2023-10-11,45,2,3,,26,45,42,36
14,古亭,2023-10-11,45,5,2,,25,23,45,41
13,萬華,2023-10-11,45,2,3,,28,45,45,37
12,中山,2023-10-11,47,0,5,,26,47,44,39
11,士林,2023-10-11,49,0,2,,19,15,49,32
10,淡水,2023-10-11,50,2,2,,24,13,50,30
9,林口,2023-10-11,43,0,2,,24,32,43,24
8,菜寮,2023-10-11,45,2,3,,24,28,45,23
7,新莊,2023-10-11,45,0,3,,30,37,45,43
6,板橋,2023-10-11,43,2,3,,26,35,43,41
5,土城,2023-10-11,45,2,3,,23,20,45,37
4,新店,2023-10-11,45,0,3,,21,20,45,32
3,萬里,2023-10-11,77,2,2,,66,7,77,36
2,汐止,2023-10-11,47,5,3,,24,47,43,34
1,基隆,2023-10-11,58,2,2,,26,7,58,32
85,大城,2023-10-10,50,2,2,,22,15,50,23
84,富貴角,2023-10-10,58,0,1,,36,2,58,28
83,麥寮,2023-10-10,24,5,2,,24,17,,24
80,關山,2023-10-10,31,2,1,,9,3,31,
78,馬公,2023-10-10,47,0,2,,15,5,47,24
77,金門,2023-10-10,67,2,3,,16,13,67,36
75,馬祖,2023-10-10,74,0,3,,26,8,74,50
72,埔里,2023-10-10,41,2,2,,19,8,41,33
71,復興,2023-10-10,60,8,5,,34,51,,60
70,永和,2023-10-10,31,2,3,,9,17,,31
69,竹山,2023-10-10,51,2,2,,25,20,48,51
68,中壢,2023-10-10,47,2,8,,11,47,,21
67,三重,2023-10-10,51,0,10,,10,51,,17
66,冬山,2023-10-10,50,0,2,,7,50,42,7
65,宜蘭,2023-10-10,41,2,1,,9,8,41,19
64,陽明,2023-10-10,46,0,1,,2,2,46,
63,花蓮,2023-10-10,34,2,2,,9,27,34,8
62,臺東,2023-10-10,35,0,1,,11,8,35,9
61,恆春,2023-10-10,32,0,1,,13,2,32,4
60,潮州,2023-10-10,50,2,2,,26,7,50,46
59,屏東,2023-10-10,80,8,3,,30,20,80,
58,小港,2023-10-10,61,10,3,,34,45,61,56
57,前鎮,2023-10-10,57,12,5,,38,57,,56
56,前金,2023-10-10,67,2,3,,41,15,67,53
54,左營,2023-10-10,80,2,3,,43,22,80,66
53,楠梓,2023-10-10,71,2,3,,38,30,71,54
52,林園,2023-10-10,84,2,2,,38,12,84,56
51,大寮,2023-10-10,59,28,3,,40,30,58,59
50,鳳山,2023-10-10,47,5,6,,32,27,,47
49,仁武,2023-10-10,77,5,3,,34,28,77,53
48,橋頭,2023-10-10,71,2,3,,38,17,71,57
47,美濃,2023-10-10,50,2,2,,23,7,50,38
46,臺南,2023-10-10,61,0,5,,38,30,61,58
45,安南,2023-10-10,54,2,3,,35,18,54,52
44,善化,2023-10-10,54,2,2,,25,15,54,48
43,新營,2023-10-10,51,5,2,,29,15,51,35
42,嘉義,2023-10-10,58,8,3,,29,23,58,52
41,臺西,2023-10-10,27,8,2,,27,15,,24
40,朴子,2023-10-10,50,2,2,,25,15,50,31
39,新港,2023-10-10,51,5,2,,29,17,51,35
38,崙背,2023-10-10,47,2,2,,24,17,47,27
37,斗六,2023-10-10,54,2,2,,26,15,54,33
36,南投,2023-10-10,45,2,3,,17,25,45,24
35,二林,2023-10-10,47,5,2,,24,17,47,22
34,線西,2023-10-10,22,5,3,,22,15,,
33,彰化,2023-10-10,46,0,2,,16,17,46,26
32,西屯,2023-10-10,43,2,2,,12,13,43,23
31,忠明,2023-10-10,42,2,3,,14,23,42,21
30,大里,2023-10-10,44,2,3,,9,22,44,11
29,沙鹿,2023-10-10,47,2,2,,13,12,47,12
28,豐原,2023-10-10,39,2,2,,8,8,39,15
27,三義,2023-10-10,41,2,2,,8,8,41,12
26,苗栗,2023-10-10,38,5,2,,6,12,38,10
25,頭份,2023-10-10,12,2,2,,12,12,,10
24,新竹,2023-10-10,40,2,2,,8,15,40,13
23,竹東,2023-10-10,41,0,1,,4,5,41,9
22,湖口,2023-10-10,40,2,2,,15,12,40,20
21,龍潭,2023-10-10,39,2,2,,9,10,39,8
20,平鎮,2023-10-10,35,2,3,,8,23,35,11
19,觀音,2023-10-10,42,8,2,,21,13,42,24
18,大園,2023-10-10,40,8,2,,15,32,40,14
17,桃園,2023-10-10,37,2,3,,9,17,37,15
16,大同,2023-10-10,40,2,6,,15,40,,34
15,松山,2023-10-10,39,5,2,,10,33,39,19
